Terme 1,Terme 2,Score Similarité
coucher,heure,0.484
coucher,oeil,0.358
coucher,temps,0.412
coucher,vouloir,0.386
coucher,lumière,0.394
coucher,faire,0.423
coucher,venir,0.466
coucher,prendre,0.454
coucher,trouver,0.372
coucher,demander,0.375
coucher,entendre,0.362
coucher,petit,0.419
coucher,chemin,0.368
coucher,nuit,0.393
coucher,partir,0.403
coucher,devoir,0.394
coucher,hôtel,0.368
coucher,apercevoir,0.414
coucher,porte,0.424
coucher,jour,0.464
coucher,matin,0.423
coucher,moment,0.415
coucher,pouvoir,0.409
coucher,falloir,0.393
coucher,rester,0.419
coucher,chambre,0.512
coucher,vie,0.358
coucher,monde,0.352
coucher,quitter,0.426
coucher,arriver,0.429
coucher,aller,0.459
coucher,donner,0.405
coucher,voir,0.433
coucher,lit,0.493
coucher,dormir,0.368
coucher,arrêter,0.368
coucher,soleil,0.395
coucher,savoir,0.409
coucher,avoir,0.386
coucher,sortir,0.376
coucher,passer,0.434
coucher,place,0.366
coucher,fenêtre,0.416
coucher,grand,0.385
coucher,maman,0.445
coucher,bonsoir,0.368
coucher,combray,0.458
coucher,dîner,0.42
coucher,soir,0.465
coucher,rentrer,0.409
coucher,être,0.35
coucher,chaud,0.353
coucher,fois,0.419
coucher,mettre,0.402
coucher,rue,0.511
coucher,paris,0.393
coucher,mère,0.426
coucher,attendre,0.419
coucher,descendre,0.37
coucher,laisser,0.379
coucher,jardin,0.375
coucher,dire,0.357
coucher,françoise,0.37
coucher,entrer,0.384
coucher,monter,0.475
coucher,maison,0.471
coucher,swann,0.368
coucher,coup,0.373
coucher,cocher,0.377
coucher,tante,0.36
coucher,apprendre,0.351
coucher,eau,0.358
coucher,rayon,0.387
coucher,voiture,0.351
coucher,gilberte,0.357
heure,bon,0.607
heure,peine,0.465
heure,oeil,0.496
heure,temps,0.653
heure,pensée,0.492
heure,chercher,0.586
heure,éveiller,0.358
heure,vouloir,0.656
heure,croire,0.564
heure,main,0.422
heure,lumière,0.441
heure,cesser,0.478
heure,faire,0.705
heure,venir,0.708
heure,lire,0.49
heure,prendre,0.587
heure,particulier,0.426
heure,sembler,0.525
heure,parler,0.396
heure,église,0.357
heure,raison,0.457
heure,commencer,0.572
heure,devenir,0.399
heure,vue,0.396
heure,trouver,0.624
heure,esprit,0.442
heure,chose,0.573
heure,cause,0.454
heure,demander,0.63
heure,entendre,0.52
heure,train,0.517
heure,campagne,0.353
heure,prochain,0.351
heure,petit,0.571
heure,chemin,0.428
heure,souvenir,0.479
heure,nouveau,0.47
heure,lampe,0.371
heure,nuit,0.48
heure,douceur,0.366
heure,beau,0.55
heure,regarder,0.441
heure,instant,0.507
heure,malade,0.416
heure,obliger,0.399
heure,partir,0.581
heure,devoir,0.611
heure,hôtel,0.373
heure,inconnu,0.355
heure,apercevoir,0.481
heure,porte,0.452
heure,jour,0.7
heure,bonheur,0.365
heure,matin,0.549
heure,moment,0.651
heure,domestique,0.395
heure,lever,0.387
heure,pouvoir,0.639
heure,sonner,0.397
heure,porter,0.457
heure,souffrir,0.358
heure,dernier,0.471
heure,falloir,0.609
heure,rester,0.64
heure,goûter,0.366
heure,grâce,0.35
heure,chambre,0.54
heure,partie,0.424
heure,retourner,0.375
heure,rejoindre,0.459
heure,vie,0.55
heure,retrouver,0.514
heure,tirer,0.419
heure,oublier,0.427
heure,tête,0.42
heure,monde,0.608
heure,femme,0.538
heure,plaisir,0.556
heure,point,0.411
heure,imaginer,0.392
heure,offrir,0.353
heure,sentir,0.521
heure,quitter,0.595
heure,baiser,0.357
heure,arriver,0.629
heure,connaître,0.532
heure,aller,0.701
heure,donner,0.586
heure,voir,0.697
heure,désirer,0.459
heure,réalité,0.362
heure,fille,0.46
heure,homme,0.411
heure,année,0.522
heure,lit,0.387
heure,occuper,0.46
heure,arrêter,0.488
heure,soleil,0.361
heure,minute,0.456
heure,savoir,0.656
heure,asseoir,0.475
heure,mois,0.492
heure,fût,0.486
heure,lieu,0.556
heure,milieu,0.428
heure,fond,0.4
heure,avoir,0.637
heure,sortir,0.573
heure,passer,0.634
heure,image,0.414
heure,face,0.375
heure,tourner,0.394
heure,pays,0.379
heure,place,0.486
heure,rappeler,0.525
heure,fenêtre,0.374
heure,côté,0.424
heure,grand,0.567
heure,finir,0.514
heure,maman,0.578
heure,bonsoir,0.392
heure,mort,0.413
heure,combray,0.563
