roman,fenetre,mot_cible,voisin,score
dostoievski.txt,2,amour,exaspéré,0.4534
dostoievski.txt,2,amour,fol,0.4113
dostoievski.txt,2,amour,nièce,0.3702
dostoievski.txt,2,amour,éloge,0.3702
dostoievski.txt,2,amour,atrophier,0.3562
dostoievski.txt,2,amour,mesquin,0.3562
dostoievski.txt,2,amour,justifier,0.3206
dostoievski.txt,2,amour,ruine,0.3206
dostoievski.txt,2,amour,faconde,0.3206
dostoievski.txt,2,amour,ressentir,0.3186
dostoievski.txt,5,amour,paillasse,0.3771
dostoievski.txt,5,amour,fol,0.3578
dostoievski.txt,5,amour,dément,0.3339
dostoievski.txt,5,amour,éclipse,0.3305
dostoievski.txt,5,amour,pleurnicheur,0.3213
dostoievski.txt,5,amour,exaspéré,0.3135
dostoievski.txt,5,amour,mesquin,0.2871
dostoievski.txt,5,amour,sacrifier,0.2836
dostoievski.txt,5,amour,reprend,0.265
dostoievski.txt,5,amour,pensez,0.2613
dostoievski.txt,20,amour,paillasse,0.3644
dostoievski.txt,20,amour,dément,0.3636
dostoievski.txt,20,amour,infini,0.3307
dostoievski.txt,20,amour,pureté,0.3306
dostoievski.txt,20,amour,virginal,0.3306
dostoievski.txt,20,amour,prince,0.3223
dostoievski.txt,20,amour,atrophier,0.3194
dostoievski.txt,20,amour,hypertrophier,0.3194
dostoievski.txt,20,amour,caricature,0.3194
dostoievski.txt,20,amour,entamée,0.3194
cleves.txt,2,amour,avoit,0.3884
cleves.txt,2,amour,croire,0.3868
cleves.txt,2,amour,poindre,0.38
cleves.txt,2,amour,voir,0.3769
cleves.txt,2,amour,aimer,0.3748
cleves.txt,2,amour,savoir,0.3711
cleves.txt,2,amour,pouvoir,0.3705
cleves.txt,2,amour,faire,0.3676
cleves.txt,2,amour,homme,0.3668
cleves.txt,2,amour,raison,0.3656
cleves.txt,5,amour,poindre,0.6157
cleves.txt,5,amour,homme,0.5901
cleves.txt,5,amour,voir,0.5785
cleves.txt,5,amour,avoir,0.5771
cleves.txt,5,amour,amoureux,0.5624
cleves.txt,5,amour,pouvoir,0.5616
